Reference, Value, Footprint, Datasheet
U5,PIC16F876A,Housings_DIP:DIP-28_W7.62mm_LongPads,
U1,LM358,SMD_Packages:SOIC-8-N,
R8,10K,Discret:R3,
R6,1K,Discret:R3,
R2,10K,Discret:R3,
R1,1.5K,Discret:R3,
C1,104,w_capacitors:cnp_3mm_disc,
R4,10K,Discret:R3,
R3,1K,Discret:R3,
RV1,10K,Buttons_Switches_SMD:SW_SPST_B3S-1100,
C3,104,w_capacitors:cnp_3mm_disc,
K2,hakko 907,w_conn_screw:mors_5p,
U4,TMP101,TO_SOT_Packages_SMD:SOT-23-6,
C20,104,w_capacitors:cnp_3mm_disc,
R7,4.7K,Discret:R3,
R11,4.7K,Discret:R3,
Q3,IRLR2908,SMD_Packages_by_Karl:DPAK-3_GDS,
C2,104,w_capacitors:cnp_3mm_disc,
C4,104,w_capacitors:cnp_3mm_disc,
P1,24VAC,Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol,
D1,BRIDGE-6A,Terminal_blocks:Diode_bridge_KPBC60xx,
R5,1.5K,Discret:R3,
D2,5V_ON,LEDs:LED-3MM,
X1,32.768kHz,Crystals:Crystal_Round_Horizontal_3mm_BigPad,
C11,22pF,w_capacitors:cnp_3mm_disc,
C13,22pF,w_capacitors:cnp_3mm_disc,
J1,DC_INLET,w_conn_misc:dc_socket,
X2,20Mhz,Crystals:Crystal_HC50-U_Vertical,
C15,22pF,w_capacitors:cnp_3mm_disc,
C16,22pF,w_capacitors:cnp_3mm_disc,
SW2,BUTTON1,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
SW3,BUTTON2,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
RV2,10K,Buttons_Switches_SMD:SW_SPST_B3S-1100,
R23,1.5K,Discret:R3,
R24,1.5K,Discret:R3,
R25,10K,Discret:R3,
R26,10K,Discret:R3,
D4,LED1,LEDs:LED-3MM,
D5,LED2,LEDs:LED-3MM,
R13,1.5K,Discret:R3,
R14,1.5K,Discret:R3,
R16,1.5K,Discret:R3,
R17,1.5K,Discret:R3,
R18,1.5K,Discret:R3,
R19,1.5K,Discret:R3,
R15,1.5K,Discret:R3,
Q1,C1815,TO_SOT_Packages_THT:TO-92_Molded_Wide_Oval,
R9,560,Discret:R3,
R12,22R,Discret:R3,
Q2,A1015,TO_SOT_Packages_THT:TO-92_Molded_Wide_Oval,
R10,2.7K,Discret:R3,
C8,104,w_capacitors:cnp_3mm_disc,
C10,104,w_capacitors:cnp_3mm_disc,
C17,104,w_capacitors:cnp_3mm_disc,
R22,560,Discret:R3,
R21,560,Discret:R3,
R27,100K,Discret:R3,
C19,104,w_capacitors:cnp_3mm_disc,
C18,104,w_capacitors:cnp_3mm_disc,
D3,heat_en,LEDs:LED-3MM,
U2,LM7812,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical_LargePads,
U3,LM7805,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical_LargePads,
C5,100uF/ 25V,w_capacitors:CP_6.3x11mm,
C7,0.1uF,w_capacitors:cnp_3mm_disc,
C9,0.1uF,w_capacitors:cnp_3mm_disc,
C12,0.1uF,w_capacitors:cnp_3mm_disc,
C6,104,w_capacitors:cnp_3mm_disc,
R20,1.5K,Discret:R3,
AFF1,CA56-12,Displays_7-Segment:Cx56-12,
